Station,Earthquake_code,maxa,maxv,maxd,nStory,height,year,strutype,Magnitude,Epicentral Distance (km),Vs30 (m/sec),Peak Ground Acceleration (PGA),Peak Ground Velocity (PGV),Peak Ground Displacement (PGD),Vmax/Amax,Acceleration Root Mean Square(ARMS),Velocity Root Mean Square(VRMS),Displacement Root Mean Square(DRMS),Cumulative Absolute Velocity (CAV),Cumulative Absolute Displacement (CAD),Cumulative Absolute Energy (CAI),Significant Duration,Bracketed Duration,Peak Spectral Acceleration (SPA),Peak Spectral Velocity (SPV),Characteristic Intensity (Ic),Acceleration Spectrum Intensity (ASI),Velocity Spectrum Intensity (VSI),Predominant Period (Tp),Arias Intensity
CE24517,ci38457511,0.935732,0.0825101,0.0441561,3,12.4968,1974,RM1,7.1,192.7,339,0.62724,0.078174271,0.043979088,0.124632151,0.071791882,0.013218028,0.009741389,4.520447089,1.001727986,0.714296781,29.59,34.75,2.640004742,0.253240856,0.215064144,0.573990888,0.286303264,0.16,0.103160053
CE24517,ci38457775,0.142521,0.00461646,0.000307772,3,12.4968,1974,RM1,4.7,112.4,339,0.100253,0.003143226,0.000294275,0.031352935,0.007905488,0.000339919,4.33E-05,0.18902309,0.010342725,0.001602411,8.03,0.005,0.375410586,0.012036197,0.00557909,0.071069658,0.011161997,0.19,0.000630447
CE25213,ci15350729,0.940115,0.0424797,0.00312125,3,10.0584,1960,C2,4.8,18.7,334,0.814581,0.026377684,0.002953844,0.032381905,0.053178159,0.002537036,0.000393584,1.195322862,0.07680681,0.012479929,11.035,10.585,3.593883663,0.080810158,0.094989494,0.35790023,0.092704201,0.14,0.027168691
CE25213,ci37848263,0.164974,0.00633349,0.0003138,3,10.0584,1960,C2,3.8,14.2,334,0.0300783,0.001729121,0.000211189,0.057487332,0.003738146,0.000205421,2.15E-05,0.103174116,0.005980272,0.000751053,11.03,0,0.128134438,0.005108182,0.001785046,0.028465287,0.006197612,0.24,0.000136488
CE25213,ci37908735,0.419569,0.0166725,0.00139485,3,10.0584,1960,C2,5.3,65,334,0.0815595,0.006422329,0.000995379,0.078744097,0.012536157,0.001256998,0.000260914,0.487095309,0.051367935,0.011019121,27.38,0,0.363104487,0.024957443,0.011659265,0.077527578,0.031067218,0.25,0.001736316
CE25213,ci38031584,0.229886,0.00931319,0.000433916,3,10.0584,1960,C2,4.3,75.7,334,0.0431246,0.002103261,0.000188676,0.048771729,0.004923504,0.000298212,7.28E-05,0.159296321,0.010347024,0.003681237,16.385,0,0.162427676,0.007984886,0.002720241,0.040120738,0.007641792,0.24,0.000240653
CE25213,ci38443183,0.108961,0.0274314,0.00865285,3,10.0584,1960,C2,6.4,193.5,334,0.0911171,0.025868217,0.009134364,0.283900792,0.01789992,0.005028719,0.002829116,0.751345119,0.203447987,0.119608047,28.595,0,0.283394791,0.089803203,0.01900846,0.046766012,0.101951776,1.64,0.003232166
CE25213,ci38457511,0.149574,0.0354296,0.0235891,3,10.0584,1960,C2,7.1,112.4,334,0.105893,0.033662804,0.030398791,0.317894512,0.025137492,0.008926527,0.011310065,1.205177273,0.41509232,0.528436201,37.47,0.075,0.35062491,0.088198225,0.031884007,0.05483523,0.116612919,0.94,0.006475521
CE25213,ci39645386,0.124121,0.00726653,0.000905091,3,10.0584,1960,C2,5.1,42.6,334,0.0434177,0.004581992,0.000839982,0.105532817,0.007150517,0.000778548,0.00016622,0.264029747,0.027728239,0.006395062,28,0,0.151446819,0.012133695,0.004722491,0.042407224,0.020148814,0.32,0.000499408
CE25213,ci40865184,0.251894,0.0113758,0.00104779,3,10.0584,1960,C2,5.2,144.7,334,0.0625001,0.004429316,0.000704197,0.070868943,0.00974618,0.000859013,0.00016072,0.386183608,0.036505473,0.007218162,27.15,0,0.309420684,0.018934054,0.007934254,0.065914423,0.026290958,0.34,0.001034257
CE35409,ci10657701,0.194654,0.00790706,0.000497414,3,14.6304,1948,C2,4.3,23.5,305,0.0891699,0.003765263,0.000371612,0.042225717,0.005950337,0.000295085,2.44E-05,0.141996032,0.007072541,0.000708748,11.34,0,0.268771002,0.009679715,0.003555396,0.066831982,0.013641863,0.09,0.000340162
CE35409,ci15350729,0.0625334,0.00684126,0.000955415,3,14.6304,1948,C2,4.8,91.9,305,0.0504952,0.006352195,0.000922837,0.125798003,0.005204689,0.000578918,9.95E-05,0.145995446,0.014847111,0.002621154,13.805,0,0.145171272,0.013308665,0.002809869,0.037411156,0.021548279,0.42,0.0002429
